run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR8282782	PRJEB30134	SAMEA5226476	ERX7850213	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/002/ERR8282782/ERR8282782.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282782/cpe051.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/002/ERR8282782.bam
ERR8282783	PRJEB30134	SAMEA5226477	ERX7850214	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/003/ERR8282783/ERR8282783.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282783/cpe052.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/003/ERR8282783.bam
ERR8282785	PRJEB30134	SAMEA5226480	ERX7850216	470	Acinetobacter baumannii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/005/ERR8282785/ERR8282785.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282785/cpe055.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/005/ERR8282785.bam
ERR8282786	PRJEB30134	SAMEA5226482	ERX7850217	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/006/ERR8282786/ERR8282786.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282786/cpe057.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/006/ERR8282786.bam
ERR8282788	PRJEB30134	SAMEA5226484	ERX7850219	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/008/ERR8282788/ERR8282788.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282788/cpe059.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/008/ERR8282788.bam
ERR8282792	PRJEB30134	SAMEA6451164	ERX7850223	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/002/ERR8282792/ERR8282792.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282792/cpe068.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/002/ERR8282792.bam
ERR8282798	PRJEB30134	SAMEA6451095	ERX7850229	470	Acinetobacter baumannii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/008/ERR8282798/ERR8282798.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282798/cpe077.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/008/ERR8282798.bam
ERR8282801	PRJEB30134	SAMEA6451101	ERX7850232	470	Acinetobacter baumannii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/001/ERR8282801/ERR8282801.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282801/cpe080.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/001/ERR8282801.bam
ERR8282803	PRJEB30134	SAMEA6451096	ERX7850234	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/003/ERR8282803/ERR8282803.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282803/cpe082.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/003/ERR8282803.bam
ERR8282807	PRJEB30134	SAMEA6451103	ERX7850238	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/007/ERR8282807/ERR8282807.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282807/cpe086.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/007/ERR8282807.bam
ERR8282809	PRJEB30134	SAMEA6451105	ERX7850240	571	Klebsiella oxytoca	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/009/ERR8282809/ERR8282809.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282809/cpe088.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/009/ERR8282809.bam
ERR8282810	PRJEB30134	SAMEA6451110	ERX7850241	550	Enterobacter cloacae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/000/ERR8282810/ERR8282810.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282810/cpe090.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/000/ERR8282810.bam
ERR8282813	PRJEB30134	SAMEA6451109	ERX7850244	550	Enterobacter cloacae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/003/ERR8282813/ERR8282813.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282813/cpe093.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/003/ERR8282813.bam
ERR8282821	PRJEB30134	SAMEA6451121	ERX7850252	550	Enterobacter cloacae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/001/ERR8282821/ERR8282821.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282821/cpe106.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/001/ERR8282821.bam
ERR8282822	PRJEB30134	SAMEA6451146	ERX7850253	550	Enterobacter cloacae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR828/002/ERR8282822/ERR8282822.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR828/ERR8282822/icp157.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR828/002/ERR8282822.bam
ERR4095880	PRJEB30134	SAMEA5226342	ERX4091178	108980	Acinetobacter ursingii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4095880/ERR4095880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4095880/ERR4095880_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095880/29210_5#7.cram	
ERR4095882	PRJEB30134	SAMEA5226343	ERX4091180	28090	Acinetobacter lwoffii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4095882/ERR4095882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4095882/ERR4095882_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095882/29210_5#9.cram	
ERR4095885	PRJEB30134	SAMEA5226427	ERX4091183	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4095885/ERR4095885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4095885/ERR4095885_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095885/29210_5#12.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095885/29210_5#12.cram.crai	
ERR4095891	PRJEB30134	SAMEA5226430	ERX4091189	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4095891/ERR4095891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4095891/ERR4095891_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095891/29210_5#18.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095891/29210_5#18.cram.crai	
ERR4095892	PRJEB30134	SAMEA5226392	ERX4091190	571	Klebsiella oxytoca	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4095892/ERR4095892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4095892/ERR4095892_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095892/29210_5#19.cram	
ERR4095898	PRJEB30134	SAMEA5226404	ERX4091196	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4095898/ERR4095898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4095898/ERR4095898_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095898/29210_5#25.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095898/29210_5#25.cram.crai	
ERR4095900	PRJEB30134	SAMEA5226432	ERX4091198	1280	Staphylococcus aureus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4095900/ERR4095900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4095900/ERR4095900_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095900/29210_5#27.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095900/29210_5#27.cram.crai	
ERR4095901	PRJEB30134	SAMEA5226438	ERX4091199	40324	Stenotrophomonas maltophilia	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4095901/ERR4095901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4095901/ERR4095901_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095901/29210_5#28.cram	
ERR4095902	PRJEB30134	SAMEA5226433	ERX4091200	1280	Staphylococcus aureus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4095902/ERR4095902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4095902/ERR4095902_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095902/29210_5#29.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095902/29210_5#29.cram.crai	
ERR4095905	PRJEB30134	SAMEA5226442	ERX4091203	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4095905/ERR4095905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4095905/ERR4095905_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095905/29210_5#32.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095905/29210_5#32.cram.crai	
ERR4095911	PRJEB30134	SAMEA5226461	ERX4091209	546	Citrobacter freundii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4095911/ERR4095911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4095911/ERR4095911_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095911/29210_5#38.cram	
ERR4095916	PRJEB30134	SAMEA5226464	ERX4091214	546	Citrobacter freundii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4095916/ERR4095916_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4095916/ERR4095916_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095916/29210_5#43.cram	
ERR4095917	PRJEB30134	SAMEA5226484	ERX4091215	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4095917/ERR4095917_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4095917/ERR4095917_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095917/29210_5#44.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095917/29210_5#44.cram.crai	
ERR4095919	PRJEB30134	SAMEA5226449	ERX4091217	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4095919/ERR4095919_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4095919/ERR4095919_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095919/29210_5#46.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095919/29210_5#46.cram.crai	
ERR4095923	PRJEB30134	SAMEA5226452	ERX4091221	287	Pseudomonas aeruginosa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4095923/ERR4095923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4095923/ERR4095923_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095923/29210_5#50.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095923/29210_5#50.cram.crai	
ERR4095924	PRJEB30134	SAMEA5226340	ERX4091222	470	Acinetobacter baumannii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4095924/ERR4095924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4095924/ERR4095924_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095924/29210_5#51.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095924/29210_5#51.cram.crai	
ERR4095928	PRJEB30134	SAMEA5226345	ERX4091226	471	Acinetobacter calcoaceticus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4095928/ERR4095928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4095928/ERR4095928_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095928/29210_5#55.cram	
ERR4095933	PRJEB30134	SAMEA5226349	ERX4091231	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4095933/ERR4095933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4095933/ERR4095933_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095933/29210_5#60.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095933/29210_5#60.cram.crai	
ERR4095935	PRJEB30134	SAMEA5226458	ERX4091233	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4095935/ERR4095935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4095935/ERR4095935_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095935/29210_5#62.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095935/29210_5#62.cram.crai	
ERR4095937	PRJEB30134	SAMEA5226351	ERX4091235	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4095937/ERR4095937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4095937/ERR4095937_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095937/29210_5#64.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095937/29210_5#64.cram.crai	
ERR4095944	PRJEB30134	SAMEA5226354	ERX4091242	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4095944/ERR4095944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4095944/ERR4095944_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095944/29210_5#71.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095944/29210_5#71.cram.crai	
ERR4095946	PRJEB30134	SAMEA5226467	ERX4091244	550	Enterobacter cloacae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4095946/ERR4095946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4095946/ERR4095946_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095946/29210_5#73.cram	
ERR4095947	PRJEB30134	SAMEA5226468	ERX4091245	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4095947/ERR4095947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4095947/ERR4095947_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095947/29210_5#74.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095947/29210_5#74.cram.crai	
ERR4095948	PRJEB30134	SAMEA5226356	ERX4091246	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4095948/ERR4095948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4095948/ERR4095948_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095948/29210_5#75.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095948/29210_5#75.cram.crai	
ERR4095952	PRJEB30134	SAMEA5226470	ERX4091250	470	Acinetobacter baumannii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4095952/ERR4095952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4095952/ERR4095952_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095952/29210_5#79.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095952/29210_5#79.cram.crai	
ERR4095957	PRJEB30134	SAMEA5226473	ERX4091255	470	Acinetobacter baumannii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4095957/ERR4095957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4095957/ERR4095957_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095957/29210_5#84.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095957/29210_5#84.cram.crai	
ERR4095962	PRJEB30134	SAMEA5226365	ERX4091260	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4095962/ERR4095962_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4095962/ERR4095962_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095962/29210_5#89.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095962/29210_5#89.cram.crai	
ERR4095965	PRJEB30134	SAMEA5226477	ERX4091263	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4095965/ERR4095965_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4095965/ERR4095965_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095965/29210_5#92.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095965/29210_5#92.cram.crai	
ERR4095966	PRJEB30134	SAMEA5226367	ERX4091264	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4095966/ERR4095966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4095966/ERR4095966_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095966/29210_5#93.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095966/29210_5#93.cram.crai	
ERR4095967	PRJEB30134	SAMEA5226368	ERX4091265	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4095967/ERR4095967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4095967/ERR4095967_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095967/29210_5#94.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095967/29210_5#94.cram.crai	
ERR4095973	PRJEB30134	SAMEA5226481	ERX4091271	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4095973/ERR4095973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4095973/ERR4095973_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095973/29210_5#100.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095973/29210_5#100.cram.crai	
ERR4095974	PRJEB30134	SAMEA5226371	ERX4091272	571	Klebsiella oxytoca	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4095974/ERR4095974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4095974/ERR4095974_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095974/29210_5#101.cram	
ERR4095982	PRJEB30134	SAMEA5226486	ERX4091280	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4095982/ERR4095982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4095982/ERR4095982_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095982/29210_5#109.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095982/29210_5#109.cram.crai	
ERR4095983	PRJEB30134	SAMEA5226487	ERX4091281	615	Serratia marcescens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4095983/ERR4095983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4095983/ERR4095983_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095983/29210_5#110.cram	
ERR4095986	PRJEB30134	SAMEA5226489	ERX4091284	550	Enterobacter cloacae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4095986/ERR4095986_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4095986/ERR4095986_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095986/29210_5#113.cram	
ERR4095988	PRJEB30134	SAMEA5226378	ERX4091286	571	Klebsiella oxytoca	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4095988/ERR4095988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4095988/ERR4095988_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095988/29210_5#115.cram	
ERR4095992	PRJEB30134	SAMEA5226380	ERX4091290	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4095992/ERR4095992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4095992/ERR4095992_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095992/29210_5#119.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095992/29210_5#119.cram.crai	
ERR4095993	PRJEB30134	SAMEA5226381	ERX4091291	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4095993/ERR4095993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4095993/ERR4095993_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095993/29210_5#120.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095993/29210_5#120.cram.crai	
ERR4095994	PRJEB30134	SAMEA5226494	ERX4091292	546	Citrobacter freundii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4095994/ERR4095994_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4095994/ERR4095994_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095994/29210_5#121.cram	
ERR4095995	PRJEB30134	SAMEA5226495	ERX4091293	546	Citrobacter freundii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4095995/ERR4095995_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4095995/ERR4095995_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4095995/29210_5#122.cram	
ERR4096003	PRJEB30134	SAMEA5226499	ERX4091301	546	Citrobacter freundii	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4096003/ERR4096003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4096003/ERR4096003_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4096003/29210_5#130.cram	
ERR4096011	PRJEB30134	SAMEA5226503	ERX4091309	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4096011/ERR4096011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4096011/ERR4096011_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4096011/29210_5#138.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4096011/29210_5#138.cram.crai	
ERR4096015	PRJEB30134	SAMEA5226393	ERX4091313	244366	Klebsiella variicola	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4096015/ERR4096015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4096015/ERR4096015_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4096015/29210_5#142.cram	
ERR4096020	PRJEB30134	SAMEA5936381	ERX4091318	584	Proteus mirabilis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4096020/ERR4096020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4096020/ERR4096020_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4096020/29210_5#147.cram	
ERR4096023	PRJEB30134	SAMEA5226397	ERX4091321	573	Klebsiella pneumoniae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4096023/ERR4096023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4096023/ERR4096023_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4096023/29210_5#150.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4096023/29210_5#150.cram.crai	
ERR4096025	PRJEB30134	SAMEA5226508	ERX4091323	584	Proteus mirabilis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4096025/ERR4096025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4096025/ERR4096025_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4096025/29210_5#152.cram	
ERR4096033	PRJEB30134	SAMEA5226512	ERX4091331	287	Pseudomonas aeruginosa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4096033/ERR4096033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4096033/ERR4096033_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4096033/29210_5#160.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4096033/29210_5#160.cram.crai	
ERR4096036	PRJEB30134	SAMEA5226513	ERX4091334	287	Pseudomonas aeruginosa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4096036/ERR4096036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4096036/ERR4096036_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4096036/29210_5#163.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4096036/29210_5#163.cram.crai	
