run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR5311147	PRJEB30134	SAMEA6450779	ERX5100550	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/007/ERR5311147/ERR5311147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/007/ERR5311147/ERR5311147_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311147/33226_5#43.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311147/33226_5#43.cram.crai	
ERR5311154	PRJEB30134	SAMEA6450783	ERX5100557	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/004/ERR5311154/ERR5311154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/004/ERR5311154/ERR5311154_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311154/33226_5#50.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311154/33226_5#50.cram.crai	
ERR5311156	PRJEB30134	SAMEA6450784	ERX5100559	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/006/ERR5311156/ERR5311156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/006/ERR5311156/ERR5311156_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311156/33226_5#52.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311156/33226_5#52.cram.crai	
ERR5311157	PRJEB30134	SAMEA6450976	ERX5100560	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/007/ERR5311157/ERR5311157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/007/ERR5311157/ERR5311157_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311157/33226_5#53.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311157/33226_5#53.cram.crai	
ERR5311160	PRJEB30134	SAMEA6450790	ERX5100563	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/000/ERR5311160/ERR5311160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/000/ERR5311160/ERR5311160_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311160/33226_5#56.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311160/33226_5#56.cram.crai	
ERR5311171	PRJEB30134	SAMEA6450805	ERX5100574	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/001/ERR5311171/ERR5311171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/001/ERR5311171/ERR5311171_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311171/33226_5#67.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311171/33226_5#67.cram.crai	
ERR5311173	PRJEB30134	SAMEA6450807	ERX5100576	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/003/ERR5311173/ERR5311173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/003/ERR5311173/ERR5311173_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311173/33226_5#69.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311173/33226_5#69.cram.crai	
ERR5311174	PRJEB30134	SAMEA6450981	ERX5100577	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/004/ERR5311174/ERR5311174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/004/ERR5311174/ERR5311174_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311174/33226_5#70.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311174/33226_5#70.cram.crai	
ERR5311179	PRJEB30134	SAMEA6450812	ERX5100582	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/009/ERR5311179/ERR5311179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/009/ERR5311179/ERR5311179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311179/33226_5#75.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311179/33226_5#75.cram.crai	
ERR5311183	PRJEB30134	SAMEA6450816	ERX5100586	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/003/ERR5311183/ERR5311183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/003/ERR5311183/ERR5311183_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311183/33226_5#79.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR5311183/33226_5#79.cram.crai	
